"year" "title" "gross" "budget" "leng" "score" "profit"
2011 "Source Code" 54.712227 32 93 92 22.712227
2011 "Hop" 108.085305 63 95 25 45.085305
2011 "Insidious" 54.00915 1.5 103 66 52.50915
2011 "Sucker Punch" 36.392502 75 120 23 -38.607498
2011 "Diary of a Wimpy Kid: Rodrick Rules" 52.698535 18 96 48 34.698535
2011 "Paul" 37.412945 40 104 71 -2.587055
2011 "The Lincoln Lawyer" 58.0092 40 118 83 18.0092
2011 "Limitless" 79.249455 27 105 70 52.249455
2011 "Mars Needs Moms!" 21.392758 150 88 37 -128.607242
2011 "Battle: Los Angeles" 83.552429 70 116 35 13.552429
2011 "Red Riding Hood" 37.662162 42 100 10 -4.337838
2011 "Take Me Home Tonight" 6.928068 19 97 28 -12.071932
2011 "The Adjustment Bureau" 62.495645 50.2 106 72 12.295645
2011 "Rango" 123.477607 135 107 88 -11.522393
2011 "Beastly" 27.865571 17 86 21 10.865571
2011 "Hall Pass" 45.060734 36 105 34 9.060734
2011 "Drive Angry" 10.721033 50 104 45 -39.278967
2011 "Big Mommas: Like Father, Like Son" 37.915414 32 107 5 5.915414
2011 "I Am Number Four" 55.100437 50 109 33 5.100437
2011 "Unknown" 63.686397 40 113 55 23.686397
2011 "Gnomeo and Juliet" 99.96767 36 84 55 63.96767
2011 "Justin Bieber: Never Say Never" 73.01391 13 105 64 60.01391
2011 "The Eagle" 19.490041 25 114 39 -5.509959
2011 "Just Go With It" 103.028109 80 117 19 23.028109
2011 "Sanctum" 23.20931 30 108 30 -6.79069
2011 "The Roommate" 37.300107 16 91 4 21.300107
2011 "The Rite" 33.047633 37 114 21 -3.952367
2011 "The Mechanic" 29.121498 42.5 93 53 -13.378502
2011 "No Strings Attached" 70.66222 25 108 49 45.66222
2011 "The Dilemma" 48.47529 70 111 24 -21.52471
2011 "The Green Hornet" 98.780042 110 119 43 -11.219958
2011 "Season of the Witch" 24.827228 40 95 10 -15.172772
2010 "Gulliver's Travels" 42.779261 112 85 21 -69.220739
2010 "True Grit" 171.243005 35 110 96 136.243005
2010 "Little Fockers" 148.4386 100 98 10 48.4386
2010 "The Fighter" 93.617009 25 114 91 68.617009
2010 "How Do You Know" 30.21262 120 116 32 -89.78738
2010 "Yogi Bear" 100.246011 80 82 13 20.246011
2010 "Tron: Legacy" 172.062763 200 125 51 -27.937237
2010 "The Tourist" 67.631157 100 103 20 -32.368843
2010 "Chronicles of Narnia: The Voyage of the Dawn Treader" 104.38695 155 112 49 -50.61305
2010 "The Warrior's Way" 5.66634 42 100 29 -36.33366
2010 "Burlesque" 39.440655 55 100 37 -15.559345
2010 "Love and Other Drugs" 32.367005 30 113 49 2.367005
2010 "Faster" 23.24002 12 98 43 11.24002
2010 "Harry Potter and the Deathly Hallows: Part 1" 295.983305 125 150 78 170.983305
2010 "The Next Three Days" 21.148651 30 122 52 -8.851349
2010 "Skyline" 21.39362 10 100 15 11.39362
2010 "Unstoppable" 81.562942 95 98 86 -13.437058
2010 "Morning Glory" 31.011732 40 102 55 -8.988268
2010 "For Colored Girls" 37.729698 21 120 32 16.729698
2010 "Megamind" 148.415853 130 96 72 18.415853
2010 "Due Date" 100.539043 65 95 40 35.539043
2010 "Paranormal Activity 2" 84.752907 3 91 58 81.752907
2010 "Jackass 3D" 117.229692 20 94 64 97.229692
2010 "Red" 90.380162 60 111 71 30.380162
2010 "Life As We Know It" 53.374681 38 112 28 15.374681
2010 "My Soul to Take" 14.744435 25 107 9 -10.255565
2010 "Secretariat" 59.713955 35 116 64 24.713955
2010 "The Social Network" 96.962694 40 120 96 56.962694
2010 "Case 39" 13.261851 27 109 22 -13.738149
2010 "Let Me In" 12.134935 20 115 88 -7.865065
2010 "Wall Street: Money Never Sleeps" 52.474616 70 127 55 -17.525384
2010 "You Again" 25.702053 20 105 17 5.702053
2010 "Legend of the Guardians: The Owls of Ga'hoole" 55.675313 100 90 50 -44.324687
2010 "Easy A" 58.401464 8 92 85 50.401464
2010 "Alpha and Omega" 25.107267 20 88 16 5.107267
2010 "Devil" 33.60119 10 80 52 23.60119
2010 "The Town" 92.186262 37 123 94 55.186262
2010 "Resident Evil: Afterlife 3D" 60.128566 57.5 100 23 2.628566
2010 "Going the Distance" 17.804299 32 97 53 -14.195701
2010 "Machete" 26.593646 12.5 105 72 14.093646
2010 "The American" 35.606376 20 105 66 15.606376
2010 "The Last Exorcism" 41.03435 1.8 100 72 39.23435
2010 "Takers" 57.74472 32 107 28 25.74472
2010 "The Switch" 27.779426 19 100 51 8.779426
2010 "Nanny McPhee Returns" 29.011215 35 100 76 -5.988785
2010 "Lottery Ticket" 24.719879 17 99 34 7.719879
2010 "Piranha 3D" 25.003155 24 89 73 1.003155
2010 "Vampires Suck" 36.661504 20 80 5 16.661504
2010 "Eat Pray Love" 80.57401 60 133 36 20.57401
2010 "The Expendables" 103.068524 82 103 41 21.068524
2010 "Scott Pilgrim vs. the World" 31.524275 85 113 82 -53.475725
2010 "The Other Guys" 119.219978 100 107 79 19.219978
2010 "Step Up 3D" 42.400223 30 97 46 12.400223
2010 "Cats and Dogs: The Revenge of Kitty Galore" 43.585753 85 82 14 -41.414247
2010 "Charlie St. Cloud" 31.162545 44 90 27 -12.837455
2010 "Dinner for Schmucks" 73.026337 69 110 42 4.026337
2010 "Ramona and Beezus" 26.167002 15 104 70 11.167002
2010 "Salt" 118.311368 130 99 62 -11.688632
2010 "Inception" 292.576195 160 148 86 132.576195
2010 "The Sorcerer's Apprentice" 63.150991 160 111 41 -96.849009
2010 "Predators" 52.000688 40 107 64 12.000688
2010 "Despicable Me" 251.513985 69 95 81 182.513985
2010 "The Last Airbender" 131.772187 150 103 6 -18.227813
2010 "The Twilight Saga: Eclipse" 300.531751 68 124 49 232.531751
2010 "Grown Ups" 162.001186 75 102 10 87.001186
2010 "Knight and Day" 76.423035 117 130 53 -40.576965
2010 "Jonah Hex" 10.547117 47 81 12 -36.452883
2010 "Toy Story 3" 415.00488 200 103 99 215.00488
2010 "The A-Team" 77.222099 110 117 47 -32.777901
2010 "The Karate Kid" 176.591618 40 140 66 136.591618
2010 "Marmaduke" 33.644788 50 87 9 -16.355212
2010 "Get Him to the Greek" 60.974475 40 109 73 20.974475
2010 "Killers" 47.059963 75 100 11 -27.940037
